,title,price,link
0,"Apple 2024 MacBook Air 13â€³
                                        Laptop with M3 chip: 34.46 cm (13.6â€³) Liquid Retina Display, 8GB Unified Memory,
                                        256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID-
                                        Midnight  ","1,04,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NjUzMzYyMDI4ODIxOTk4OjE3Mjk4NTg5NzU6c3BfYXRmOjMwMDM1MDY5ODMxNDIzMjo6MDo6&url=%2FApple-2024-MacBook-Laptop-chip%2Fdp%2FB0CX2532GD%2Fref%3Dsr_1_1_sspa%3Fcrid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.L2wEpXgo8985OWtdIJRSaJr0DoSU8hGBiipM0xJ1_6joxPUKuchFKxvt9q4cLNCL7ztaKM56DhUB-iiQhYcpxnA4SuHfYyywdwu7m6STN7Lt6UM50UukxZ9RQ9OmUAwYaS3YJ_UQLCAaOhQuo15QMa0d2ACgbq4MffH_5JHMsDdMEl2q9qxc2N79L3nFPksDcp-mcPs-x4XAtqJE1n_2msm8CiLgyA-fd1KOhl1YQqQ.e-sO1AeDMhIHhWT9FN-nrKqQ68eYYubI18sd_mLPZCw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729858975%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Apple 2024 MacBook Air 15â€³
                                        Laptop with M3 chip: 38.91 cm (15.3â€³) Liquid Retina Display, 16GB Unified
                                        Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID-
                                        Midnight  ","1,59,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NjUzMzYyMDI4ODIxOTk4OjE3Mjk4NTg5NzU6c3BfYXRmOjMwMDM1MDY5ODMxMjMzMjo6MDo6&url=%2FApple-2024-MacBook-Laptop-chip%2Fdp%2FB0CX21P5VQ%2Fref%3Dsr_1_2_sspa%3Fcrid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.L2wEpXgo8985OWtdIJRSaJr0DoSU8hGBiipM0xJ1_6joxPUKuchFKxvt9q4cLNCL7ztaKM56DhUB-iiQhYcpxnA4SuHfYyywdwu7m6STN7Lt6UM50UukxZ9RQ9OmUAwYaS3YJ_UQLCAaOhQuo15QMa0d2ACgbq4MffH_5JHMsDdMEl2q9qxc2N79L3nFPksDcp-mcPs-x4XAtqJE1n_2msm8CiLgyA-fd1KOhl1YQqQ.e-sO1AeDMhIHhWT9FN-nrKqQ68eYYubI18sd_mLPZCw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729858975%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"ASUS X515, 15.6"" FHD (1920 x 1080) 16:9, 60Hz 200nits, Intel Pentium Gold 7505, Thin & Light Laptop (8GB RAM/512GB SSD/Windows 11/Office Home/37WHr Battery/Transparent Silver/1.80 kg), X1500EA-EJ122WS  ","23,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMzk0NjAyNDY4Nzc3NTQzOjE3Mjk4NTkwMTI6c3BfYnRmOjMwMDMzMDQ5NzAzMjUzMjo6MDo6&url=%2FASUS-Vivobook-15-6-inch-Intergrated-X1500EA-EJ122WS%2Fdp%2FB0CZ3K42DX%2Fref%3Dsr_1_70_sspa%3Fcrid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.bitjm96MN9cWucIDdwU7rahyJuhgNAdHKLVI3gT6rm3MYr_lFeRGoli73KW1pTE-Usb7rTc3jPP9tLT8mdsN5j0C_so5xVQdM1GiDLr_t8eGqqz1bCrtBNoW7etd-WD6xQUAQCTrvXAcKtT7WIpBGrWpFq45XTcGqMZKmmzuVMi4tdaf-voNS0KAzLxr5P-3WGXkRmr_iQQgp26A78eoa9JFJ843XG-B8UmHxzpZL2M.e55eUufQ_LfM1FTjm2X8ythicdziW2YDmF973bFUggc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729859012%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
3,"Apple 2024 MacBook Air 15â€³ Laptop with M3 chip: 38.91 cm (15.3â€³) Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Midnight  ","1,22,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MTcwNTg4NTgzMTk1NjA1OjE3Mjk4NTkwMzQ6c3BfYXRmX25leHQ6MzAwMzUwNjk4MzEzNTMyOjowOjo&url=%2FApple-2024-MacBook-Laptop-chip%2Fdp%2FB0CX243LQK%2Fref%3Dsr_1_65_sspa%3Fcrid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.4LisWjs6RRMV5JMgMByDsAo3MXoLuw3s9c_zlIrtui_yRqzNLc0KNAhZ8pIUpPWtijKgQ3IFU7ILw1hGu9ywZHyQhbvbYWro5cVQMvoNdjxjUFmvJRbr4rc11J_iQ-4QzgTkHxiIdwyhnttWTOmrvQKrO7nFtVMcBW8QpyHXlSX88QDdt_EWIYkz14G9uMHRSwVmVcrvBqHBo1buyuyqYp5RpZDlScSV0YqwPYGrh7U.A8HJF-F2Qj7f8HRICPfbNYkMJimtk8V3a8NHkndli7c%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729859034%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
4,"Apple 2024 MacBook Air 13â€³ Laptop with M3 chip: 34.46 cm (13.6â€³) Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Space Grey  ","1,22,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MTcwNTg4NTgzMTk1NjA1OjE3Mjk4NTkwMzQ6c3BfYXRmX25leHQ6MzAwMzUwNjk4MzE0MzMyOjowOjo&url=%2FApple-2024-MacBook-Laptop-chip%2Fdp%2FB0CX232PQ8%2Fref%3Dsr_1_66_sspa%3Fcrid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.4LisWjs6RRMV5JMgMByDsAo3MXoLuw3s9c_zlIrtui_yRqzNLc0KNAhZ8pIUpPWtijKgQ3IFU7ILw1hGu9ywZHyQhbvbYWro5cVQMvoNdjxjUFmvJRbr4rc11J_iQ-4QzgTkHxiIdwyhnttWTOmrvQKrO7nFtVMcBW8QpyHXlSX88QDdt_EWIYkz14G9uMHRSwVmVcrvBqHBo1buyuyqYp5RpZDlScSV0YqwPYGrh7U.A8HJF-F2Qj7f8HRICPfbNYkMJimtk8V3a8NHkndli7c%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729859034%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
5,"Lenovo LOQ 2024 13th Gen Intel Core i7-13650HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (24GB/512GB SSD/Win 11/NVIDIA RTX 4060 8GB/MSO 21/1Yr ADP Free/3mon Game Pass/Grey/2.4Kg), 83DV00LXIN  ","1,02,990",https://amazon.in//Lenovo-i7-13650HX-39-6cm-300Nits-83DV00LXIN/dp/B0D3TGNY9G/ref=sr_1_67?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.4LisWjs6RRMV5JMgMByDsAo3MXoLuw3s9c_zlIrtui_yRqzNLc0KNAhZ8pIUpPWtijKgQ3IFU7ILw1hGu9ywZHyQhbvbYWro5cVQMvoNdjxjUFmvJRbr4rc11J_iQ-4QzgTkHxiIdwyhnttWTOmrvQKrO7nFtVMcBW8QpyHXlSX88QDdt_EWIYkz14G9uMHRSwVmVcrvBqHBo1buyuyqYp5RpZDlScSV0YqwPYGrh7U.A8HJF-F2Qj7f8HRICPfbNYkMJimtk8V3a8NHkndli7c&dib_tag=se&keywords=laptop&qid=1729859034&sprefix=lap%2Caps%2C432&sr=8-67
6,"(Refurbished) Lenovo LOQ 2024 13th Gen Intel Core i7-13650HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (24GB/512GB SSD/Win 11/NVIDIA RTX 4060 8GB/100% sRGB/Office 2021/3 Month Game Pass/Grey/2.4Kg), 83DV00LXIN  ","86,691",https://amazon.in//Refurbished-Lenovo-i7-13650HX-300Nits-83DV00LXIN/dp/B0D7SF1TKJ/ref=sr_1_68?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.4LisWjs6RRMV5JMgMByDsAo3MXoLuw3s9c_zlIrtui_yRqzNLc0KNAhZ8pIUpPWtijKgQ3IFU7ILw1hGu9ywZHyQhbvbYWro5cVQMvoNdjxjUFmvJRbr4rc11J_iQ-4QzgTkHxiIdwyhnttWTOmrvQKrO7nFtVMcBW8QpyHXlSX88QDdt_EWIYkz14G9uMHRSwVmVcrvBqHBo1buyuyqYp5RpZDlScSV0YqwPYGrh7U.A8HJF-F2Qj7f8HRICPfbNYkMJimtk8V3a8NHkndli7c&dib_tag=se&keywords=laptop&qid=1729859034&sprefix=lap%2Caps%2C432&sr=8-68
7,"Lenovo V14 G3 (2024), Intel Core i5 12th Gen 1235U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office 2021 Pro Plus  ","42,990",https://amazon.in//Lenovo-V14-G3-Intel-1235U/dp/B08HJWSGW6/ref=sr_1_69?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.4LisWjs6RRMV5JMgMByDsAo3MXoLuw3s9c_zlIrtui_yRqzNLc0KNAhZ8pIUpPWtijKgQ3IFU7ILw1hGu9ywZHyQhbvbYWro5cVQMvoNdjxjUFmvJRbr4rc11J_iQ-4QzgTkHxiIdwyhnttWTOmrvQKrO7nFtVMcBW8QpyHXlSX88QDdt_EWIYkz14G9uMHRSwVmVcrvBqHBo1buyuyqYp5RpZDlScSV0YqwPYGrh7U.A8HJF-F2Qj7f8HRICPfbNYkMJimtk8V3a8NHkndli7c&dib_tag=se&keywords=laptop&qid=1729859034&sprefix=lap%2Caps%2C432&sr=8-69
8,"Lenovo IdeaPad 1 AMD Athlon Silver 7120U 15.6"" HD Thin and Light Laptop (8GB/512GB SDD/Windows 11 Home/1Year Warranty/MS Office/Cloud Grey/1.58Kg), 82VG00EQIN  ","26,990",https://amazon.in//Lenovo-IdeaPad-Windows-Warranty-82VG00EQIN/dp/B0CN18M8CM/ref=sr_1_71?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.4LisWjs6RRMV5JMgMByDsAo3MXoLuw3s9c_zlIrtui_yRqzNLc0KNAhZ8pIUpPWtijKgQ3IFU7ILw1hGu9ywZHyQhbvbYWro5cVQMvoNdjxjUFmvJRbr4rc11J_iQ-4QzgTkHxiIdwyhnttWTOmrvQKrO7nFtVMcBW8QpyHXlSX88QDdt_EWIYkz14G9uMHRSwVmVcrvBqHBo1buyuyqYp5RpZDlScSV0YqwPYGrh7U.A8HJF-F2Qj7f8HRICPfbNYkMJimtk8V3a8NHkndli7c&dib_tag=se&keywords=laptop&qid=1729859034&sprefix=lap%2Caps%2C432&sr=8-71
9,"Lenovo V14 G3 (2024), Intel Core i5 12th Gen 1235U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office 2021 Pro Plus  ","41,490",https://amazon.in//Lenovo-Intel-Core-12th-1235U/dp/B0DJCNMC4C/ref=sr_1_72?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.4LisWjs6RRMV5JMgMByDsAo3MXoLuw3s9c_zlIrtui_yRqzNLc0KNAhZ8pIUpPWtijKgQ3IFU7ILw1hGu9ywZHyQhbvbYWro5cVQMvoNdjxjUFmvJRbr4rc11J_iQ-4QzgTkHxiIdwyhnttWTOmrvQKrO7nFtVMcBW8QpyHXlSX88QDdt_EWIYkz14G9uMHRSwVmVcrvBqHBo1buyuyqYp5RpZDlScSV0YqwPYGrh7U.A8HJF-F2Qj7f8HRICPfbNYkMJimtk8V3a8NHkndli7c&dib_tag=se&keywords=laptop&qid=1729859034&sprefix=lap%2Caps%2C432&sr=8-72
10,"Acer Aspire 3 Intel Core i3-1215U Processor Laptop with 35.56 cm (14"") Full HD LED-Backlit IPS Display (16 GB RAM/512 GB SSD/Wifi 6/Intel Graphics/Win11 Home/65W) A324-51, Steel Gray, 1.45KG  ","28,970",https://amazon.in//Acer-i3-1215U-Processor-LED-Backlit-A324-51/dp/B0D817WFC8/ref=sr_1_73?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.4LisWjs6RRMV5JMgMByDsAo3MXoLuw3s9c_zlIrtui_yRqzNLc0KNAhZ8pIUpPWtijKgQ3IFU7ILw1hGu9ywZHyQhbvbYWro5cVQMvoNdjxjUFmvJRbr4rc11J_iQ-4QzgTkHxiIdwyhnttWTOmrvQKrO7nFtVMcBW8QpyHXlSX88QDdt_EWIYkz14G9uMHRSwVmVcrvBqHBo1buyuyqYp5RpZDlScSV0YqwPYGrh7U.A8HJF-F2Qj7f8HRICPfbNYkMJimtk8V3a8NHkndli7c&dib_tag=se&keywords=laptop&qid=1729859034&sprefix=lap%2Caps%2C432&sr=8-73
